date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:04:20	44342/44342	---M-Z	200	added ('OK')	application/javascript	etag:%22ad36-607430ed2f9ed-gzip%22	https://themesbrand.com/skote/layouts/assets/libs/owl.carousel/owl.carousel.min.js	C:/My%20Web%20Sites/numberplateindiatemplate/themesbrand.com/skote/layouts/assets/libs/owl.carousel/owl.carousel.min.js	(from https://themesbrand.com/skote/layouts/crypto-ico-landing.html)
15:04:20	854/854	---M-Z	200	added ('OK')	application/javascript	etag:%22356-607430ed0794c-gzip%22	https://themesbrand.com/skote/layouts/assets/js/pages/ico-landing.init.js	C:/My%20Web%20Sites/numberplateindiatemplate/themesbrand.com/skote/layouts/assets/js/pages/ico-landing.init.js	(from https://themesbrand.com/skote/layouts/crypto-ico-landing.html)
15:04:20	427323/427323	---MCZ	200	added ('OK')	application/javascript	etag:%226853b-609b6e505be68-gzip%22	https://themesbrand.com/skote/layouts/assets/libs/tinymce/tinymce.min.js	C:/My%20Web%20Sites/numberplateindiatemplate/themesbrand.com/skote/layouts/assets/libs/tinymce/tinymce.min.js	(from https://themesbrand.com/skote/layouts/email-inbox.html)
15:04:21	468/468	---M-Z	200	added ('OK')	application/javascript	etag:%221d4-609b6e5033db9-gzip%22	https://themesbrand.com/skote/layouts/assets/js/pages/email-editor.init.js	C:/My%20Web%20Sites/numberplateindiatemplate/themesbrand.com/skote/layouts/assets/js/pages/email-editor.init.js	(from https://themesbrand.com/skote/layouts/email-inbox.html)
15:04:21	278/278	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Nov%202024%2009:34:20%20GMT	https://themesbrand.com/skote/layouts/assets/libs/summernote/summernote-bs4.min.css	C:/My%20Web%20Sites/numberplateindiatemplate/themesbrand.com/skote/layouts/assets/libs/summernote/summernote-bs4.min.css	(from https://themesbrand.com/skote/layouts/email-read.html)
15:04:21	182435/182435	---M--	200	added ('OK')	image/jpeg	etag:%222c8a3-607430ed04a6c%22	https://themesbrand.com/skote/layouts/assets/images/small/img-3.jpg	C:/My%20Web%20Sites/numberplateindiatemplate/themesbrand.com/skote/layouts/assets/images/small/img-3.jpg	(from https://themesbrand.com/skote/layouts/email-read.html)
15:04:22	203278/203278	---M--	200	added ('OK')	image/jpeg	etag:%2231a0e-607430ed04a6c%22	https://themesbrand.com/skote/layouts/assets/images/small/img-4.jpg	C:/My%20Web%20Sites/numberplateindiatemplate/themesbrand.com/skote/layouts/assets/images/small/img-4.jpg	(from https://themesbrand.com/skote/layouts/email-read.html)
15:04:22	11962/11962	---M--	200	added ('OK')	image/jpeg	etag:%222eba-607430ed05a0c%22	https://themesbrand.com/skote/layouts/assets/images/users/avatar-7.jpg	C:/My%20Web%20Sites/numberplateindiatemplate/themesbrand.com/skote/layouts/assets/images/users/avatar-7.jpg	(from https://themesbrand.com/skote/layouts/invoices-list.html)
15:04:22	8984/8984	---M--	200	added ('OK')	image/png	etag:%222318-607430ecf7f4b%22	https://themesbrand.com/skote/layouts/assets/images/companies/img-4.png	C:/My%20Web%20Sites/numberplateindiatemplate/themesbrand.com/skote/layouts/assets/images/companies/img-4.png	(from https://themesbrand.com/skote/layouts/projects-grid.html)
15:04:23	8041/8041	---M--	200	added ('OK')	image/png	etag:%221f69-607430ecf7f4b%22	https://themesbrand.com/skote/layouts/assets/images/companies/img-5.png	C:/My%20Web%20Sites/numberplateindiatemplate/themesbrand.com/skote/layouts/assets/images/companies/img-5.png	(from https://themesbrand.com/skote/layouts/projects-grid.html)
15:04:23	7408/7408	---M--	200	added ('OK')	image/png	etag:%221cf0-607430ecf7f4b%22	https://themesbrand.com/skote/layouts/assets/images/companies/img-6.png	C:/My%20Web%20Sites/numberplateindiatemplate/themesbrand.com/skote/layouts/assets/images/companies/img-6.png	(from https://themesbrand.com/skote/layouts/projects-grid.html)
15:04:23	5155/5155	---M-Z	200	added ('OK')	application/javascript	etag:%221423-609b6e5033db9-gzip%22	https://themesbrand.com/skote/layouts/assets/js/pages/project-list.init.js	C:/My%20Web%20Sites/numberplateindiatemplate/themesbrand.com/skote/layouts/assets/js/pages/project-list.init.js	(from https://themesbrand.com/skote/layouts/projects-list.html)
15:04:24	479/479	---M-Z	200	added ('OK')	application/javascript	etag:%221df-607430ed0794c-gzip%22	https://themesbrand.com/skote/layouts/assets/js/pages/project-overview.init.js	C:/My%20Web%20Sites/numberplateindiatemplate/themesbrand.com/skote/layouts/assets/js/pages/project-overview.init.js	(from https://themesbrand.com/skote/layouts/projects-overview.html)
15:04:24	4530/4530	---M-Z	200	added ('OK')	application/javascript	etag:%2211b2-609b6e5033db9-gzip%22	https://themesbrand.com/skote/layouts/assets/js/pages/project-create.init.js	C:/My%20Web%20Sites/numberplateindiatemplate/themesbrand.com/skote/layouts/assets/js/pages/project-create.init.js	(from https://themesbrand.com/skote/layouts/projects-create.html)
